MS-DRG,MS-DRG Title, Average Charges 
885,PSYCHOSES,"$33,373.42 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"$49,396.64 "
291,HEART FAILURE & SHOCK W MCC,"$40,834.83 "
682,RENAL FAILURE W MCC,"$41,042.06 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"$30,439.70 "
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$34,510.85 "
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","$33,346.26 "
683,RENAL FAILURE W CC,"$27,345.59 "
313,CHEST PAIN,"$21,749.54 "
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$38,298.33 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$45,320.54 "
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$23,153.45 "
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"$130,943.94 "
312,SYNCOPE & COLLAPSE,"$24,071.36 "
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"$24,021.99 "
377,G.I. HEMORRHAGE W MCC,"$46,709.66 "
603,CELLULITIS W/O MCC,"$25,398.78 "
881,DEPRESSIVE NEUROSES,"$22,817.93 "
378,G.I. HEMORRHAGE W CC,"$28,359.71 "
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$45,096.01 "
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$55,106.24 "
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"$31,049.11 "
101,SEIZURES W/O MCC,"$24,863.36 "
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$51,632.09 "
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$48,054.39 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$29,859.89 "
638,DIABETES W CC,"$25,421.06 "
303,ATHEROSCLEROSIS W/O MCC,"$20,777.42 "
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS,"$128,894.03 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$32,857.75 "
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$22,975.85 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$45,360.02 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$52,735.03 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$27,059.37 "
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","$22,827.80 "
520,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,"$36,410.79 "
100,SEIZURES W MCC,"$45,076.25 "
637,DIABETES W MCC,"$37,350.85 "
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$34,890.83 "
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$27,945.14 "
194,SIMPLE PNEUMONIA & PLEURISY W CC,"$27,444.26 "
