DRG,DRG Desc,Average charge total
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$31,645 "
062,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,"$92,240 "
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$46,604 "
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,"$41,698 "
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$31,284 "
069,TRANSIENT ISCHEMIA,"$22,257 "
070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$50,671 "
074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$36,950 "
092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$32,548 "
100,SEIZURES W MCC,"$48,408 "
101,SEIZURES W/O MCC,"$25,674 "
153,OTITIS MEDIA & URI W/O MCC,"$38,101 "
158,DENTAL & ORAL DISEASES W CC,"$28,612 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$108,296 "
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$66,238 "
175,PULMONARY EMBOLISM W MCC,"$46,300 "
176,PULMONARY EMBOLISM W/O MCC,"$29,055 "
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$67,837 "
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"$45,601 "
180,RESPIRATORY NEOPLASMS W MCC,"$48,755 "
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$62,983 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$48,399 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$38,966 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$27,371 "
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$53,054 "
194,SIMPLE PNEUMONIA & PLEURISY W CC,"$34,834 "
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$27,986 "
202,BRONCHITIS & ASTHMA W CC/MCC,"$34,659 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,"$96,325 "
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"$83,021 "
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"$58,809 "
246,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,"$138,726 "
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"$84,868 "
252,OTHER VASCULAR PROCEDURES W MCC,"$129,473 "
253,OTHER VASCULAR PROCEDURES W CC,"$85,731 "
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$116,938 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$65,536 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$51,498 "
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","$76,912 "
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","$40,220 "
291,HEART FAILURE & SHOCK W MCC,"$54,491 "
292,HEART FAILURE & SHOCK W CC,"$30,095 "
293,HEART FAILURE & SHOCK W/O CC/MCC,"$18,188 "
299,PERIPHERAL VASCULAR DISORDERS W MCC,"$41,873 "
300,PERIPHERAL VASCULAR DISORDERS W CC,"$33,663 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$19,027 "
304,HYPERTENSION W MCC,"$36,106 "
305,HYPERTENSION W/O MCC,"$28,357 "
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$55,963 "
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$31,787 "
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$21,482 "
312,SYNCOPE & COLLAPSE,"$31,967 "
313,CHEST PAIN,"$24,377 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$80,720 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$28,950 "
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$203,490 "
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"$118,289 "
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$80,957 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$50,609 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$55,972 "
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$42,682 "
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$35,768 "
377,G.I. HEMORRHAGE W MCC,"$70,372 "
378,G.I. HEMORRHAGE W CC,"$40,949 "
379,G.I. HEMORRHAGE W/O CC/MCC,"$21,453 "
386,INFLAMMATORY BOWEL DISEASE W CC,"$35,141 "
388,G.I. OBSTRUCTION W MCC,"$60,604 "
389,G.I. OBSTRUCTION W CC,"$34,207 "
390,G.I. OBSTRUCTION W/O CC/MCC,"$27,172 "
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$44,038 "
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$33,311 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$60,703 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$41,305 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$80,057 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$70,266 "
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"$47,643 "
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"$64,489 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$51,485 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$34,062 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$28,156 "
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","$46,985 "
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","$27,224 "
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$22,159 "
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"$184,196 "
