drg_number,drg_name,avg tot chgs
MS003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",661734.29
MS005,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,448667.32
MS006,LIVER TRANSPLANT W/O MCC,219102.92
MS014,ALLOGENEIC BONE MARROW TRANSPLANT,347620.41
MS016,AUTOLOGOUS BONE MARROW TRANSPLANT  W CC/MCC OR T-CELL IMMUNOTHERAPY,264849.14
MS023,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,148796.85
MS025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,112379.67
MS026,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,85901.16
MS027,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,81547.43
MS064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,46762.02
MS065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,34636.62
MS066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,18329.5
MS101,SEIZURES W/O MCC,22320.68
MS164,MAJOR CHEST PROCEDURES W CC,74018.73
MS165,MAJOR CHEST PROCEDURES W/O CC/MCC,58273.18
MS166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,86237.17
MS177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,54127.93
MS178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,21694.01
MS189,PULMONARY EDEMA & RESPIRATORY FAILURE,22314
MS190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,30902
MS193,SIMPLE PNEUMONIA & PLEURISY W MCC,38896.29
MS194,SIMPLE PNEUMONIA & PLEURISY W CC,18947.27
MS205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,61838.46
MS247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,59226.32
MS286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",93430.69
MS287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",35204.32
MS291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),31731.87
MS292,HEART FAILURE & SHOCK W CC,32533.49
MS308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,35470.19
MS309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,17496.17
MS310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,20960.64
MS314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,44812.25
MS315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,46230.79
MS326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",130972.66
MS327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",90369.19
MS328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",47018.76
MS329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,102117.6
MS330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,80038.47
MS331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,67556.6
MS371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,90377.71
MS372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,30548.31
MS377,G.I. HEMORRHAGE W MCC,54295.69
MS378,G.I. HEMORRHAGE W CC,34965.57
MS389,G.I. OBSTRUCTION W CC,24042.8
MS390,G.I. OBSTRUCTION W/O CC/MCC,13408.98
MS391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",49690.8
MS392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",28354.37
MS393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,41711.02
MS394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,27713.22
MS406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC",89831.53
MS441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC",54087.4
MS442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",31584.76
MS445,DISORDERS OF THE BILIARY TRACT W CC,30031.61
MS460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,92558.74
MS468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,61854.89
MS470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,45030.03
MS473,CERVICAL SPINAL FUSION W/O CC/MCC,61325.66
MS481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,53829.37
MS483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,54517.68
MS517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,43632.32
MS603,CELLULITIS W/O MCC,18763.76
MS614,ADRENAL & PITUITARY PROCEDURES W CC/MCC,88556.57
MS621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,55180.28
MS640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",37855.16
MS641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",18456.7
MS652,KIDNEY TRANSPLANT,173011.27
MS657,KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,74409.35
MS658,KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,62027.47
MS660,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,49388.87
MS682,RENAL FAILURE W MCC,54006.87
