drg_number,drg_name,avg tot chgs
MS001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,2012537.64
MS003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",616957.27
MS004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",467025.45
MS005,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,322229.93
MS006,LIVER TRANSPLANT W/O MCC,204334.71
MS012,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC",139389.87
MS013,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC",84978.89
MS014,ALLOGENEIC BONE MARROW TRANSPLANT,244214.35
MS016,AUTOLOGOUS BONE MARROW TRANSPLANT  W CC/MCC OR T-CELL IMMUNOTHERAPY,129243.03
MS017,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,103603.15
MS023,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,120016.35
MS024,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,82811.88
MS025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,92625.35
MS026,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,73426.74
MS027,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,65248.1
MS029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,70253.28
MS030,SPINAL PROCEDURES W/O CC/MCC,41908.29
MS031,VENTRICULAR SHUNT PROCEDURES W MCC,91514.97
MS032,VENTRICULAR SHUNT PROCEDURES W CC,38451.52
MS033,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,35523.74
MS035,CAROTID ARTERY STENT PROCEDURE W CC,41464.53
MS038,EXTRACRANIAL PROCEDURES W CC,52642.76
MS039,EXTRACRANIAL PROCEDURES W/O CC/MCC,37424
MS040,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,105254.46
MS041,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,51679.49
MS042,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,45029.38
MS052,SPINAL DISORDERS & INJURIES W CC/MCC,75407.91
MS054,NERVOUS SYSTEM NEOPLASMS W MCC,41595.63
MS055,NERVOUS SYSTEM NEOPLASMS W/O MCC,41332.28
MS056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,42622.47
MS057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,36831.7
MS064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,43171.21
MS065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,27896.06
MS066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,25049.34
MS069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,20838.97
MS070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,48658.1
MS071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,39487.93
MS073,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,58654.76
MS074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,24910.85
MS082,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",38877.23
MS083,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",30417.79
MS085,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",71400.77
MS086,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",24643.78
MS087,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",16993.32
MS091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,55175.95
MS092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,25368.17
MS093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,15039.34
MS097,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,74647.18
MS098,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,44185.69
MS100,SEIZURES W MCC,46952.08
MS101,SEIZURES W/O MCC,22378.78
MS103,HEADACHES W/O MCC,16317.15
MS129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,61797.39
MS130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,46137.75
MS131,CRANIAL/FACIAL PROCEDURES W CC/MCC,71026.13
MS132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,50710.07
MS133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",52522.12
MS134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",39206.72
MS138,MOUTH PROCEDURES W/O CC/MCC,22901.2
MS139,SALIVARY GLAND PROCEDURES,27928.29
MS149,DYSEQUILIBRIUM,16202.56
MS153,OTITIS MEDIA & URI W/O MCC,11627.61
MS157,DENTAL & ORAL DISEASES W MCC,80165.77
MS158,DENTAL & ORAL DISEASES W CC,21297.52
MS163,MAJOR CHEST PROCEDURES W MCC,122334.82
MS164,MAJOR CHEST PROCEDURES W CC,60349.57
MS165,MAJOR CHEST PROCEDURES W/O CC/MCC,48001.93
MS166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,109560.78
MS167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,38744.33
MS168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,28797.43
MS175,PULMONARY EMBOLISM W MCC,36071.62
MS176,PULMONARY EMBOLISM W/O MCC,21406.24
MS177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,48097.47
MS178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,27067.26
MS180,RESPIRATORY NEOPLASMS W MCC,42916.82
MS181,RESPIRATORY NEOPLASMS W CC,27051.75
MS183,MAJOR CHEST TRAUMA W MCC,37815.37
MS184,MAJOR CHEST TRAUMA W CC,25090.43
MS186,PLEURAL EFFUSION W MCC,33198.3
MS187,PLEURAL EFFUSION W CC,19135.3
MS189,PULMONARY EDEMA & RESPIRATORY FAILURE,37770.56
MS190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,23162.03
MS191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,16201.33
MS192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,12022.58
MS193,SIMPLE PNEUMONIA & PLEURISY W MCC,32576.78
MS194,SIMPLE PNEUMONIA & PLEURISY W CC,19406.91
MS195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,13299.18
MS200,PNEUMOTHORAX W CC,23892.49
MS202,BRONCHITIS & ASTHMA W CC/MCC,19379.29
MS203,BRONCHITIS & ASTHMA W/O CC/MCC,9570.98
MS204,RESPIRATORY SIGNS & SYMPTOMS,20880.11
MS205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,25569.61
MS206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,19335.78
MS207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),181993.93
MS208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,74277.65
MS216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,239504.3
MS217,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,121564.68
MS219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,190284.16
MS220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,123521.11
MS221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,111782
MS226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,192045.66
MS227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,144660.34
MS228,OTHER CARDIOTHORACIC PROCEDURES W MCC,148017.67
MS229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,96563.41
MS233,CORONARY BYPASS W CARDIAC CATH W MCC,181841.56
MS234,CORONARY BYPASS W CARDIAC CATH W/O MCC,149727.71
MS235,CORONARY BYPASS W/O CARDIAC CATH W MCC,145161.44
MS236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,108328.48
MS240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,65551.37
MS242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,88667.06
MS243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,60995.1
MS244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,46207.74
MS246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,84566.72
MS247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,53585.02
MS252,OTHER VASCULAR PROCEDURES W MCC,86006.21
MS253,OTHER VASCULAR PROCEDURES W CC,73860.3
MS254,OTHER VASCULAR PROCEDURES W/O CC/MCC,52688.88
MS264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,104685.16
MS266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,129967.68
MS267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,105126.53
MS268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,214552.76
MS269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,102758.93
MS270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,168579.64
MS271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,92144.52
MS272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,67529.96
MS273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,113706.02
MS274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,67978.9
MS280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",39793.13
MS281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",24264.92
MS282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",17335.46
MS283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",34952.84
MS286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",63241.28
MS287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",32010.84
MS291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),35846.45
MS292,HEART FAILURE & SHOCK W CC,23684.12
MS293,HEART FAILURE & SHOCK W/O CC/MCC,17075.68
MS299,PERIPHERAL VASCULAR DISORDERS W MCC,52875.36
MS300,PERIPHERAL VASCULAR DISORDERS W CC,21743.35
MS301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,28178.63
MS303,ATHEROSCLEROSIS W/O MCC,20427.05
MS304,HYPERTENSION W MCC,36475.9
MS305,HYPERTENSION W/O MCC,15909.18
MS307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,20971.37
MS308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,32406.29
MS309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,20874.62
MS310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,16351.41
MS312,SYNCOPE & COLLAPSE,23969.27
MS313,CHEST PAIN,14243.14
MS314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,58463.93
MS315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,24609.92
MS316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,20830.96
MS326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",146746.91
MS327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",76218.85
MS328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",43793.6
MS329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,125939.57
MS330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,64555.86
MS331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,52636.7
MS335,PERITONEAL ADHESIOLYSIS W MCC,108737.7
MS336,PERITONEAL ADHESIOLYSIS W CC,53754.21
MS337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,43844.63
MS340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,29451.27
MS342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,37615.21
MS343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,25411.21
MS348,ANAL & STOMAL PROCEDURES W CC,36682.31
MS351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,35146.66
MS353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,46751.41
MS354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,50141.97
MS355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,32724.9
MS356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,121208.46
MS357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,59563.79
MS358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,40454.12
MS368,MAJOR ESOPHAGEAL DISORDERS W MCC,30371.91
MS371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,46860.61
MS372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,22568.51
MS373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,15573.25
MS374,DIGESTIVE MALIGNANCY W MCC,59071.18
MS375,DIGESTIVE MALIGNANCY W CC,30907.01
MS377,G.I. HEMORRHAGE W MCC,48158.81
MS378,G.I. HEMORRHAGE W CC,22979.27
MS379,G.I. HEMORRHAGE W/O CC/MCC,13206.55
MS380,COMPLICATED PEPTIC ULCER W MCC,54811.67
MS381,COMPLICATED PEPTIC ULCER W CC,29584.54
MS385,INFLAMMATORY BOWEL DISEASE W MCC,29218.18
MS386,INFLAMMATORY BOWEL DISEASE W CC,25988.63
MS387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,17510.45
MS388,G.I. OBSTRUCTION W MCC,35445.92
MS389,G.I. OBSTRUCTION W CC,17974.74
MS390,G.I. OBSTRUCTION W/O CC/MCC,13693.17
MS391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",35502.08
MS392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",18323.94
MS393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,42819.31
MS394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,24889.27
MS395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,13610.67
MS405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC",142460.07
MS406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC",76237.39
MS407,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC",67679.88
MS415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,59851.58
MS417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,65604.75
MS418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,36417.52
MS419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,28486
MS432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,52317.44
MS433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,16553.69
